Region,Type,ID,Office,Physical Address,Bio Kits,
ON,PPT,3007,North York PPT,"Joseph Shepard Building, 4900 Yonge Street, 3rd Floor, Suite 380, North York, Ontario, M2N6A4 ",4,
ON,PPT,3005,Scarborough PPT,"200 Town Centre Court, Suite 210, Scarborough, Ontario, M1P4X8",4,
ON,PPT,3012,Brampton PPT,"40 Gillingham Drive, Suite 401, Brampton, Ontario, L6X4X7 ",3,
ON,SCC,3591,Toronto - College SCC,"559 College Street, Suite 100, Toronto, Ontario, M6G1A9 ",3,
ON,PPT,3009,London PPT,"Cherryhill Village Mall, 301 Oxford Street West, Suite 76, London, Ontario, N6H1S6 ",2,
WT,PPT,5001,Vancouver PPT,"Sinclair Centre, 757 Hastings Street West, Suite 100, Vancouver, British Columbia, V6C1A1",3,
WT,PPT,5002,Surrey PPT,"Central City Shopping Centre, 1109 Central City, 10153 King George Boulevard, Surrey, British Columbia, V3T2W1",3,
WT,SCC,5907,Burnaby SCC,"3480 Gilmore Way, Burnaby, British Columbia, V5G4Y1",2,
WT,SCC,5940,New Westminster SCC,"620 Royal Avenue, Suite 200, New Westminster, British Columbia, V3M1J2",1,
WT,PPT,5000,Victoria PPT,"Bay Centre, 1150 Douglas Street, 4th Floor, Suite 450, Victoria, British Columbia, V8W3M9",2,
QC,SCC,2385,Parc Extension SCC,"540 Beaumont Avenue, Montréal, Quebec, H3N1T7 ",2,
QC,SCC,2380,Verdun SCC,"4110 Wellington Street, Floor 2, Montréal, Quebec, H4G1V7 ",2,
QC,PPT,2000,Saint-Laurent PPT,"2089 Marcel-Laurin Boulevard, Suite 100, Saint-Laurent, Quebec, H4R1K4",3,
WT,PPT,4601,Edmonton Canada Place PPT,"Canada Place Building, 9700 Jasper Avenue, Suite 126, Edmonton, Alberta,T5J4C3",3,
WT,PPT,4802,Calgary Harry Hayes PPT,"Harry Hays Building, Suite 150, 220 4th Avenue Southeast, Calgary, Alberta, T2G4X3 ",2,
WT,SCC,4122,Winnipeg South-West SCC,"3393 Portage Avenue, Suite 140, Winnipeg, Manitoba, R3K2G7 ",1,
ATL,SCC,1515,Halifax SCC,"6206 Quinpool Road, Halifax, Nova Scotia, B3L1A3",1,
ON,SCC,3588,Toronto - West Humber SCC,"2291 Kipling Avenue, Toronto, Ontario, M9W4L6 ",3,
WT,SCC,5944,Abbotsford SCC,"32525 Simon Avenue, Suite 100, Abbotsford, British Columbia, V2T6T6 ",2,
ON,PPT,3002,Toronto PPT,"74 Victoria Street, Suite 300, Toronto, Ontario, M5C2A5",4,
ON,PPT,3008,Mississauga PPT,"Central Parkway Mall, 377 Burnhamthorpe Road East, Main Floor, Suite 22, Mississauga, Ontario, L5A3Y1 ",3,
ON,PPT,3001,Whitby PPT,"Whitby Mall,  1615 Dundas Street East, Suite 6,  Whitby, Ontario,  L1N2L1 ",2,
WT,PPT,5003,Richmond PPT,"5611 Cooney Road, Suite 310, Richmond, British Columbia, V6X3J6",2,
WT,SCC,5942,Chilliwack SCC,"100 - 9345 Main Street, Chilliwack, British Columbia, V2P4M3 ",1,
QC,SCC,2806,Laval SCC,"1041 des Laurentides Boulevard,, Laval, Quebec, H7G2W2 ",2,
QC,SCC,2373,Brossard SCC,"2501 Lapinière Boulevard, Brossard, Quebec, J4Z3P1 ",1,
WT,SCC,4752,Edmonton Hermitage SCC,"Hermitage Square, 12735 50th Street Northwest, Edmonton, Alberta, T5A4L8 ",2,
WT,SCC,4753,Edmonton Westlink SCC,"16826 107th Avenue, Suite 100, Edmonton, Alberta, T5P4C3",1,
WT,PPT,4600,Calgary Sundance PPT,"120-23 Sunpark Drive SE, Calgary, Alberta, T2X3V1 ",2,
WT,SCC,4803,Calgary Royal Vista SCC,"15 Royal Vista Place NW, Suite 350, Calgary, Alberta, T3R0P3",1,
ON,PPT,3006,Ottawa PPT,"885 Meadowlands Drive East, Suite 115, Ottawa, Ontario, K2C3N2 ",2,
ON,SCC,3545,Ottawa East SCC,"Beacon Hill Shopping Centre, 2339 Ogilvie Road, Ottawa, Ontario, K1J8M6 ",2,
QC,SCC,2430,Gatineau/Hull-Aylmer SCC,"455 boulevard de l'höpital, Gatineau, Quebec, J8T 7X7  (Address of new location)",2,
ON,PPT,3010,Kitchener PPT,"40 Weber Street East, Mezzanine Level, Kitchener, Ontario, N2H6R3 ",2,
ON,PPT,3011,Hamilton PPT,"Standard Life Building, 120 King Street West, Plaza Level, Hamilton, Ontario, L8P4V2",2,
WT,PPT,4000,Winnipeg PPT,"433 Main Street, Suite 400, Winnipeg, Manitoba, R3B1B3",3,
WT,SCC,4318,Saskatoon SCC,"Market Mall, Unit 120, 2325 Preston Avenue South, Saskatoon, Saskatchewan, S7J2G2",2,
WT,SCC,4317,Regina SCC," Alvin Hamilton Building, 1783 Hamilton Street , Regina, Saskatchewan, S4P2B6 ",2,
ATL,SCC,1505,Dartmouth SCC,"Belmont House, Floor 3, 33 Alderney Drive, Dartmouth, Nova Scotia, B2Y2N4",1,
ATL,SCC,1959,Charlottetown SCC,"Jean Canfield Building, Main Floor, 191 Great George Street, Charlottetown, Prince Edward Island, C1A4L2 ",1,
QC,SCC,2440,Ste-Foy SCC,"3229 Quatre-Bourgeois Road, Floor 3, Sainte-Foy, Quebec, G1W0C1",2,
QC,SCC,2219,Sherbrooke SCC,"50 Place de la Cité, Sherbrooke, Quebec, J1H4G9 ",1,
WT,SCC,4807,Medicine Hat SCC,"Northside Centre, 78 8th Street Northwest, Medicine Hat, Alberta, T1A6P1 ",1,
WT,SCC,4860,Lethbridge SCC,"Crowsnest Trail Plaza, 920 2A Avenue North, Lethbridge, Alberta, T1H0E3",2,
ATL,PPT,0000,St. John's PPT,"100 Hebron Way, St-Johns, Newfoundland and Labrador, NA",1,
ATL,SCC,1687,Fredricton SCC,"Federal Building 633 Queen Street, Fredericton, New Brunswick, E3B1C3",1,
WT,SCC,4808,Red Deer SCC,"101 - 4901 46th Street, Red Deer, Alberta, T4N1N2 ",1,
WT,SCC,4825,Fort Mcmurray SCC,"8530 Manning Avenue, Fort McMurray, Alberta, T9H5G2",1,
WT,SCC,5994,Prince George SCC,"1363 4th Avenue, Prince George, British Columbia, V2L3J6",1,
WT,PPT,5004,Kelowna PPT,"Capri Centre, 1835 Gordon Drive, Suite 110, Kelowna, British Columbia, V1Y3H4",2,
WT,SCC,5965,Whitehorse SCC,"Elijah Smith Building, Suite 125, 300 Main Street, Whitehorse, Yukon, Y1A2B5 ",1,
WT,SCC,4901,Yellowknife SCC,"Greenstone Building, 5101 50th Avenue, Yellowknife, Northwest Territories, X1A2N8",1,
WT,SCC,4936,Iqaluit SCC,"933 Mivvik Street (P.O. Box 639), Iqaluit, Nunavut, X0A0H0 ",1,
ON,SCC,3612,Sudbury SCC,"Federal Building, 19 Lisgar Street, Sudbury, Ontario, P3E6L1 ",1,
ON,PPT,3616,Thunder Bay PPT,"975 Alloy Drive, Thunder Bay, Ontario, P7B5Z8",1,
ON,PPT,3000,Windsor PPT,"CIBC Building, 100 Ouellette Avenue, Suite 503, Windsor, Ontario, N9A6T3",2,
ON,PPT,3004,St. Catharines PPT,"Pen Centre, 221 Glendale Avenue, Suite 604, St. Catharines, Ontario, L2T2K9",2,
WT,SCC,4810,Calgary Temple Crossing SCC,"5401 Temple Drive, Suite 116, Calgary, Alberta, T1Y3R7",1,